structure_id,parent_structure,composition,x_Al,supercell,sqs_id,site_definition,energy_eV,energy_per_atom_eV,volume_A3,volume_per_atom_A3,a_A,c_A,c_over_a,cell_a_A,cell_c_A,mlip_model,dft_reference,temperature_K,converged,n_atoms
pure_Ni,fcc-Ni,Ni4,nan,1x1x1(cubic),-,-,-22.927588907079972,-5.731897226769993,43.25389230007157,10.813473075017892,3.51027977250832,3.5102797725082904,0.9999999999999916,3.51027977250832,3.5102797725082904,MACE-MP-0 medium (float64),MP PBE (training data),0,True,4
pure_Al,fcc-Al,Al4,nan,1x1x1(cubic),-,-,-14.91374951078118,-3.728437377695295,66.94262124933438,16.735655312333595,4.060388333707311,4.060388333707321,1.0000000000000024,4.060388333707311,4.060388333707321,MACE-MP-0 medium (float64),MP PBE (training data),0,True,4
pure_Nb,bcc-Nb,Nb2,nan,1x1x1(cubic),-,-,-20.17159771241944,-10.08579885620972,36.37242531086444,18.18621265543222,3.3132745168359983,3.3132745168360027,1.0000000000000013,3.3132745168359983,3.3132745168360027,MACE-MP-0 medium (float64),MP PBE (training data),0,True,2
pure_Cr,bcc-Cr,Cr2,nan,1x1x1(cubic),-,-,-18.90137007994056,-9.45068503997028,23.543970261788917,11.771985130894459,2.866112501899832,2.8661125018998295,0.9999999999999991,2.866112501899832,2.8661125018998295,MACE-MP-0 medium (float64),MP PBE (training data),0,True,2
pure_V,bcc-V,V2,nan,1x1x1(cubic),-,-,-18.19790780528572,-9.09895390264286,26.955625869121093,13.477812934560546,2.9983556124990844,2.9983556124990844,1.0,2.9983556124990844,2.9983556124990844,MACE-MP-0 medium (float64),MP PBE (training data),0,True,2
B2_NiAl,B2-NiAl,AlNi,0.5,1x1x1,-,B2,-10.84437312300119,-5.422186561500595,23.947486611112083,11.973743305556042,2.882393787306878,2.8823937873068775,0.9999999999999999,2.882393787306878,2.8823937873068775,MACE-MP-0 medium (float64),MP PBE (training data),0,True,2
fcc_NiAl_x0.0000_s0,fcc-Ni(Al),Ni32,0.0,32at,sqs_s0,fcc SQS (icet),-183.42071066673316,-5.731897208335411,346.0264317184903,10.813325991202822,3.510263856941006,3.510263856940824,0.9999999999999483,7.020527713882012,7.020527713881648,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.0625_s0,fcc-Ni(Al),Al2Ni30,0.0625,32at,sqs_s0,fcc SQS (icet),-182.97778868223355,-5.7180558963197985,349.1380211847339,10.910563162022934,3.521061157322084,3.5200973750288234,0.9997262807289625,4.9795324426299965,9.956338897279386,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.0625_s1,fcc-Ni(Al),Al2Ni30,0.0625,32at,sqs_s1,fcc SQS (icet),-182.9777886822335,-5.718055896319797,349.13802118470164,10.910563162021926,3.5210611573218964,3.5239976041965657,1.0008339664503023,4.979532442629732,9.967370411250155,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.1250_s0,fcc-Ni(Al),Al4Ni28,0.125,32at,sqs_s0,fcc SQS (icet),-182.2811989666698,-5.696287467708431,352.9671953278289,11.030224853994653,3.531397317784281,3.539567695545853,1.0023136387742115,4.9941499809385,10.011409279957254,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.1250_s1,fcc-Ni(Al),Al4Ni28,0.125,32at,sqs_s1,fcc SQS (icet),-182.27061382606803,-5.695956682064626,352.9503223943432,11.029697574823224,3.5332824550723725,3.539886638267913,1.0018691353661973,4.996815967658255,10.012311386203569,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.1875_s0,fcc-Ni(Al),Al6Ni26,0.1875,32at,sqs_s0,fcc SQS (icet),-180.87113579883078,-5.652222993713462,357.776005327784,11.18050016649325,3.5763586830161014,3.5425205110783247,0.9905383729829808,5.057734953432151,10.019761103503669,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.1875_s1,fcc-Ni(Al),Al6Ni26,0.1875,32at,sqs_s1,fcc SQS (icet),-180.87113579883078,-5.652222993713462,357.77600532777956,11.180500166493111,3.576358683016083,3.5467147710282103,0.9917111468352853,5.057734953432125,10.031624262114162,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
